statename,month,year,routed,answered_in_state,abandoned_in_state,asa_in_state,in_state_answer_rate,month_year,AvgTalkTime
AK,4,2022,616,408,155,28S,0.66,Apr 2022,14.7666666666667
AL,4,2022,2357,1447,712,58S,0.61,Apr 2022,12.9833333333333
AR,4,2022,1180,933,209,24S,0.79,Apr 2022,13.2
AZ,4,2022,3010,2707,248,17S,0.9,Apr 2022,9.28333333333333
CA,4,2022,22533,19306,3139,42S,0.86,Apr 2022,12.2833333333333
CO,4,2022,3976,2105,1031,35S,0.53,Apr 2022,13.65
CT,4,2022,2251,1958,252,53S,0.87,Apr 2022,9.65
DC,4,2022,513,456,49,18S,0.89,Apr 2022,8.08333333333333
DE,4,2022,379,260,82,25S,0.69,Apr 2022,8.8
FL,4,2022,8190,4943,1867,31S,0.6,Apr 2022,11.8333333333333
GA,4,2022,4391,2982,1072,26S,0.68,Apr 2022,14.5333333333333
HI,4,2022,937,677,166,34S,0.72,Apr 2022,7.71666666666667
IA,4,2022,1399,982,353,49S,0.7,Apr 2022,10.7833333333333
ID,4,2022,1031,872,130,32S,0.85,Apr 2022,16.0666666666667
IL,4,2022,7046,1331,1913,28S,0.19,Apr 2022,15.25
IN,4,2022,3158,2428,326,17S,0.77,Apr 2022,14.6833333333333
KS,4,2022,1448,1006,203,24S,0.69,Apr 2022,17.3166666666667
KY,4,2022,1926,1353,373,28S,0.7,Apr 2022,13.2333333333333
LA,4,2022,2244,1481,477,27S,0.66,Apr 2022,13.85
MA,4,2022,4425,2780,1362,57S,0.63,Apr 2022,8.73333333333333
MD,4,2022,2979,2549,427,30S,0.86,Apr 2022,12.1666666666667
ME,4,2022,490,315,175,40S,0.64,Apr 2022,10.7166666666667
MI,4,2022,5195,2316,1505,47S,0.45,Apr 2022,11.9166666666667
MN,4,2022,2643,2228,387,53S,0.84,Apr 2022,14.2
MO,4,2022,2792,2320,430,37S,0.83,Apr 2022,14.6
MS,4,2022,920,807,110,22S,0.88,Apr 2022,8.86666666666667
MT,4,2022,561,539,21,13S,0.96,Apr 2022,12.7666666666667
NC,4,2022,4484,2932,532,11S,0.65,Apr 2022,8.15
ND,4,2022,341,308,23,16S,0.9,Apr 2022,10.8666666666667
NE,4,2022,1013,830,151,32S,0.82,Apr 2022,12.75
NH,4,2022,586,458,73,19S,0.78,Apr 2022,11.4166666666667
NJ,4,2022,3949,3045,701,39S,0.77,Apr 2022,14.1666666666667
NM,4,2022,1473,1133,309,52S,0.77,Apr 2022,15.8166666666667
NV,4,2022,1763,1292,324,47S,0.73,Apr 2022,16.5333333333333
NY,4,2022,11904,8031,2100,35S,0.67,Apr 2022,15.8666666666667
OH,4,2022,5356,3696,759,21S,0.69,Apr 2022,12.0833333333333
OK,4,2022,1649,1138,374,43S,0.69,Apr 2022,13.5166666666667
OR,4,2022,3285,2633,469,37S,0.8,Apr 2022,18.5833333333333
PA,4,2022,4586,3914,601,34S,0.85,Apr 2022,12.9166666666667
RI,4,2022,308,305,2,7S,0.99,Apr 2022,10.4833333333333
SC,4,2022,2342,1775,445,30S,0.76,Apr 2022,14.8
SD,4,2022,288,247,36,25S,0.86,Apr 2022,19
TN,4,2022,2943,2454,475,25S,0.83,Apr 2022,9.65
TX,4,2022,12266,5486,2982,26S,0.45,Apr 2022,13.3833333333333
UT,4,2022,2105,1797,206,21S,0.85,Apr 2022,16.0166666666667
VA,4,2022,3966,3320,635,46S,0.84,Apr 2022,12.3833333333333
VT,4,2022,324,266,45,18S,0.82,Apr 2022,16.4333333333333
WA,4,2022,4339,2870,1081,33S,0.66,Apr 2022,11.9166666666667
WI,4,2022,4590,3801,696,29S,0.83,Apr 2022,16.4333333333333
WV,4,2022,807,729,76,21S,0.9,Apr 2022,17.0833333333333
WY,4,2022,241,180,18,14S,0.75,Apr 2022,16.6
AK,4,2023,1172,779,176,19S,0.66,Apr 2023,17.5666666666667
AL,4,2023,2370,1266,476,19S,0.53,Apr 2023,11.6166666666667
AR,4,2023,1527,1070,226,31S,0.7,Apr 2023,9.36666666666667
AZ,4,2023,5740,5032,567,19S,0.88,Apr 2023,11.55
CA,4,2023,27936,25166,2664,32S,0.9,Apr 2023,12.4666666666667
CO,4,2023,5211,4022,522,22S,0.77,Apr 2023,15.2333333333333
CT,4,2023,3664,3427,191,13S,0.94,Apr 2023,7.73333333333333
DC,4,2023,796,506,163,46S,0.64,Apr 2023,12.1333333333333
DE,4,2023,383,280,51,20S,0.73,Apr 2023,7.63333333333333
FL,4,2023,10737,7857,2049,42S,0.73,Apr 2023,14.5
GA,4,2023,5825,4982,626,21S,0.86,Apr 2023,11.8333333333333
HI,4,2023,1112,971,103,11S,0.87,Apr 2023,9.06666666666667
IA,4,2023,1872,1633,221,30S,0.87,Apr 2023,11.95
ID,4,2023,1294,995,234,26S,0.77,Apr 2023,13.3
IL,4,2023,11182,9746,948,30S,0.87,Apr 2023,20.55
IN,4,2023,3578,3411,156,14S,0.95,Apr 2023,15.7666666666667
KS,4,2023,1842,1688,134,22S,0.92,Apr 2023,14.2166666666667
KY,4,2023,2281,1807,296,26S,0.79,Apr 2023,16.3166666666667
LA,4,2023,2355,2041,290,31S,0.87,Apr 2023,16.8
MA,4,2023,5043,4455,549,32S,0.88,Apr 2023,10.4833333333333
MD,4,2023,4260,3829,418,30S,0.9,Apr 2023,13.1333333333333
ME,4,2023,620,518,74,30S,0.84,Apr 2023,10.5333333333333
MI,4,2023,6228,5382,633,26S,0.86,Apr 2023,11.4166666666667
MN,4,2023,3871,3293,431,36S,0.85,Apr 2023,12.9166666666667
MO,4,2023,4607,4296,291,17S,0.93,Apr 2023,12.3
MS,4,2023,1168,1137,19,6S,0.97,Apr 2023,8.08333333333333
MT,4,2023,762,723,38,11S,0.95,Apr 2023,12.7666666666667
NC,4,2023,5178,4314,578,19S,0.83,Apr 2023,10
ND,4,2023,440,398,19,9S,0.9,Apr 2023,11.6
NE,4,2023,1709,1532,117,20S,0.9,Apr 2023,15.0666666666667
NH,4,2023,1134,1011,117,28S,0.89,Apr 2023,15.6666666666667
NJ,4,2023,4716,3892,571,27S,0.83,Apr 2023,13.45
NM,4,2023,1948,1525,195,20S,0.78,Apr 2023,17.1333333333333
NV,4,2023,2866,2051,418,25S,0.72,Apr 2023,14.8666666666667
NY,4,2023,14693,12480,1468,27S,0.85,Apr 2023,15.4166666666667
OH,4,2023,7041,6199,741,27S,0.88,Apr 2023,13.55
OK,4,2023,3374,3119,215,18S,0.92,Apr 2023,11.1833333333333
OR,4,2023,4097,3662,308,27S,0.89,Apr 2023,16.9166666666667
PA,4,2023,7090,5568,1184,43S,0.79,Apr 2023,12.3
RI,4,2023,615,606,8,1S,0.99,Apr 2023,15.8666666666667
SC,4,2023,3087,1922,380,20S,0.62,Apr 2023,15.3666666666667
SD,4,2023,655,564,57,13S,0.86,Apr 2023,16.1833333333333
TN,4,2023,3442,3007,418,34S,0.87,Apr 2023,11.55
TX,4,2023,14074,10503,1679,25S,0.75,Apr 2023,14.4333333333333
UT,4,2023,2864,2621,161,14S,0.92,Apr 2023,14.9666666666667
VA,4,2023,5671,5239,415,20S,0.92,Apr 2023,12.6166666666667
VT,4,2023,710,530,69,16S,0.75,Apr 2023,16.1666666666667
WA,4,2023,6190,5390,463,22S,0.87,Apr 2023,11.7333333333333
WI,4,2023,6779,5182,860,32S,0.76,Apr 2023,14.1833333333333
WV,4,2023,1031,948,48,17S,0.92,Apr 2023,16.9833333333333
WY,4,2023,410,341,50,18S,0.83,Apr 2023,14.5666666666667
AK,4,2024,1339,920,230,27S,0.69,Apr 2024,15.3333333333333
AL,4,2024,2923,2152,492,31S,0.74,Apr 2024,9.88333333333333
AR,4,2024,2312,1723,262,30S,0.75,Apr 2024,13.9333333333333
AZ,4,2024,6626,5891,551,19S,0.89,Apr 2024,12.75
CA,4,2024,34986,29743,4219,32S,0.85,Apr 2024,12.2166666666667
CO,4,2024,9880,7375,833,23S,0.75,Apr 2024,14.6833333333333
CT,4,2024,4396,3956,255,13S,0.9,Apr 2024,11.9
DC,4,2024,1020,867,92,20S,0.85,Apr 2024,9.06666666666667
DE,4,2024,523,409,62,19S,0.78,Apr 2024,6.73333333333333
FL,4,2024,14670,11794,1915,31S,0.8,Apr 2024,14.35
GA,4,2024,8535,6981,962,23S,0.82,Apr 2024,12.35
HI,4,2024,1808,1326,295,25S,0.73,Apr 2024,11.2333333333333
IA,4,2024,2389,2068,290,32S,0.87,Apr 2024,11.3166666666667
ID,4,2024,1372,1207,105,20S,0.88,Apr 2024,18.1333333333333
IL,4,2024,14026,10341,1516,30S,0.74,Apr 2024,18.1333333333333
IN,4,2024,7950,7467,412,17S,0.94,Apr 2024,15.7666666666667
KS,4,2024,2598,2281,252,21S,0.88,Apr 2024,13.0166666666667
KY,4,2024,3163,2675,416,25S,0.85,Apr 2024,13.6666666666667
LA,4,2024,3573,3179,350,19S,0.89,Apr 2024,12.9833333333333
MA,4,2024,6251,5411,667,29S,0.87,Apr 2024,9.83333333333333
MD,4,2024,7161,6470,593,22S,0.9,Apr 2024,13.5833333333333
ME,4,2024,1747,1610,98,18S,0.92,Apr 2024,7.25
MI,4,2024,9851,8892,808,17S,0.9,Apr 2024,10.6666666666667
MN,4,2024,5031,4499,318,18S,0.89,Apr 2024,13.15
MO,4,2024,6761,6340,364,14S,0.94,Apr 2024,12.7
MS,4,2024,1448,1419,23,1S,0.98,Apr 2024,6.63333333333333
MT,4,2024,1022,980,38,6S,0.96,Apr 2024,12.6333333333333
NC,4,2024,7699,6263,993,23S,0.81,Apr 2024,11.1
ND,4,2024,727,657,38,9S,0.9,Apr 2024,10.4666666666667
NE,4,2024,2232,1939,151,20S,0.87,Apr 2024,15.6166666666667
NH,4,2024,1120,925,113,29S,0.83,Apr 2024,14.9833333333333
NJ,4,2024,7543,5617,835,28S,0.74,Apr 2024,13.7166666666667
NM,4,2024,2869,2544,234,18S,0.89,Apr 2024,13.7666666666667
NV,4,2024,3648,2474,509,21S,0.68,Apr 2024,15.7166666666667
NY,4,2024,32953,28868,3404,45S,0.88,Apr 2024,14.6166666666667
OH,4,2024,9589,8636,893,23S,0.9,Apr 2024,13.4666666666667
OK,4,2024,5317,4691,465,23S,0.88,Apr 2024,11.2166666666667
OR,4,2024,5199,4182,515,26S,0.8,Apr 2024,16.8833333333333
PA,4,2024,9364,8374,806,21S,0.89,Apr 2024,11.45
RI,4,2024,933,915,5,1S,0.98,Apr 2024,15.0833333333333
SC,4,2024,3729,3028,373,32S,0.81,Apr 2024,14.7666666666667
SD,4,2024,893,769,52,13S,0.86,Apr 2024,12.45
TN,4,2024,4418,3915,476,26S,0.89,Apr 2024,12.15
TX,4,2024,18488,15574,2440,33S,0.84,Apr 2024,14.4833333333333
UT,4,2024,3296,3100,144,13S,0.94,Apr 2024,15.9666666666667
VA,4,2024,10266,8892,1060,33S,0.87,Apr 2024,13.75
VT,4,2024,896,718,78,15S,0.8,Apr 2024,14.6166666666667
WA,4,2024,8608,7703,667,22S,0.89,Apr 2024,13.1833333333333
WI,4,2024,6374,4887,564,23S,0.77,Apr 2024,14.35
WV,4,2024,1969,1770,95,15S,0.9,Apr 2024,14.4166666666667
WY,4,2024,555,502,20,14S,0.9,Apr 2024,14.7166666666667
AK,8,2021,639,387,180,39S,0.61,Aug 2021,14.7833333333333
AL,8,2021,2264,1366,701,50S,0.6,Aug 2021,11.4333333333333
AR,8,2021,1245,949,235,32S,0.76,Aug 2021,13.4166666666667
AZ,8,2021,3396,3117,224,16S,0.92,Aug 2021,9.73333333333333
CA,8,2021,22726,19938,2699,36S,0.88,Aug 2021,13.3333333333333
CO,8,2021,4244,2620,937,55S,0.62,Aug 2021,15.0166666666667
CT,8,2021,1561,881,438,58S,0.56,Aug 2021,13.1
DC,8,2021,533,496,29,17S,0.93,Aug 2021,8.03333333333333
DE,8,2021,393,289,67,25S,0.74,Aug 2021,10.7166666666667
FL,8,2021,8243,6328,1521,44S,0.77,Aug 2021,11.85
GA,8,2021,4524,3374,847,27S,0.75,Aug 2021,15.5833333333333
HI,8,2021,744,647,59,15S,0.87,Aug 2021,11.1833333333333
IA,8,2021,1378,906,366,55S,0.66,Aug 2021,12.4166666666667
ID,8,2021,1034,868,72,16S,0.84,Aug 2021,15.75
IL,8,2021,7230,1327,1688,27S,0.18,Aug 2021,13.5
IN,8,2021,3324,2084,856,19S,0.63,Aug 2021,14.8833333333333
KS,8,2021,1469,1037,192,18S,0.71,Aug 2021,15.0333333333333
KY,8,2021,1981,1510,320,23S,0.76,Aug 2021,15.1333333333333
LA,8,2021,1967,997,483,40S,0.51,Aug 2021,14.5166666666667
MA,8,2021,3746,2761,774,1M 2S,0.74,Aug 2021,9.85
MD,8,2021,3052,2534,511,45S,0.83,Aug 2021,12.7333333333333
ME,8,2021,419,339,79,40S,0.81,Aug 2021,10.3333333333333
MI,8,2021,4996,3195,1071,41S,0.64,Aug 2021,11.6
MN,8,2021,2911,1341,773,41S,0.46,Aug 2021,16.9166666666667
MO,8,2021,2952,2291,560,51S,0.78,Aug 2021,15.1333333333333
MS,8,2021,1059,940,97,18S,0.89,Aug 2021,7.86666666666667
MT,8,2021,607,533,67,31S,0.88,Aug 2021,11.35
NC,8,2021,4828,3562,584,21S,0.74,Aug 2021,8.38333333333333
ND,8,2021,367,331,17,30S,0.9,Aug 2021,13.0333333333333
NE,8,2021,956,728,178,43S,0.76,Aug 2021,11.8666666666667
NH,8,2021,591,443,64,20S,0.75,Aug 2021,12.1333333333333
NJ,8,2021,3762,2866,754,40S,0.76,Aug 2021,13.3
NM,8,2021,1383,1085,263,48S,0.78,Aug 2021,16.4833333333333
NV,8,2021,1624,1169,357,45S,0.72,Aug 2021,12.55
NY,8,2021,11565,7629,1971,32S,0.66,Aug 2021,15.5833333333333
OH,8,2021,5042,3139,628,19S,0.62,Aug 2021,11.4166666666667
OK,8,2021,1683,1218,371,44S,0.72,Aug 2021,15.6833333333333
OR,8,2021,3212,2281,639,39S,0.71,Aug 2021,16.85
PA,8,2021,4930,4007,768,32S,0.81,Aug 2021,12.2833333333333
RI,8,2021,371,360,11,7S,0.97,Aug 2021,10.5
SC,8,2021,2316,1640,327,30S,0.71,Aug 2021,14.45
SD,8,2021,293,257,32,27S,0.88,Aug 2021,16.45
TN,8,2021,2648,2026,487,28S,0.77,Aug 2021,9.25
TX,8,2021,13751,5580,2547,22S,0.41,Aug 2021,12.1
UT,8,2021,2173,1499,367,26S,0.69,Aug 2021,17.1833333333333
VA,8,2021,4486,2994,1215,1M 19S,0.67,Aug 2021,10.9833333333333
VT,8,2021,344,298,18,21S,0.87,Aug 2021,15.55
WA,8,2021,4267,3174,731,33S,0.74,Aug 2021,10.5
WI,8,2021,3298,3041,234,21S,0.92,Aug 2021,14.1166666666667
WV,8,2021,1124,1020,100,25S,0.91,Aug 2021,12.9
WY,8,2021,212,78,40,13S,0.37,Aug 2021,13.6
AK,8,2022,703,541,86,27S,0.81,Aug 2022,12.3833333333333
AL,8,2022,2925,1981,596,45S,0.71,Aug 2022,12.05
AR,8,2022,1629,1050,327,26S,0.67,Aug 2022,10.15
AZ,8,2022,4846,4180,194,18S,0.94,Aug 2022,11.2666666666667
CA,8,2022,30681,25888,3173,36S,0.89,Aug 2022,11.2666666666667
CO,8,2022,5239,4314,450,26S,0.86,Aug 2022,12.95
CT,8,2022,2181,2061,93,24S,0.95,Aug 2022,12.1333333333333
DC,8,2022,780,700,20,17S,0.93,Aug 2022,8.85
DE,8,2022,493,355,39,24S,0.76,Aug 2022,7.66666666666667
FL,8,2022,12304,6609,2484,57S,0.58,Aug 2022,10.3833333333333
GA,8,2022,7251,5967,668,20S,0.88,Aug 2022,10.8333333333333
HI,8,2022,1661,1401,76,19S,0.92,Aug 2022,7.8
IA,8,2022,1787,1595,79,31S,0.93,Aug 2022,10.0333333333333
ID,8,2022,1202,1012,90,29S,0.88,Aug 2022,12.6
IL,8,2022,12801,10489,1203,33S,0.85,Aug 2022,15.3666666666667
IN,8,2022,3643,2922,122,18S,0.83,Aug 2022,11.7833333333333
KS,8,2022,2258,1812,206,23S,0.85,Aug 2022,13.3333333333333
KY,8,2022,2595,1974,276,33S,0.81,Aug 2022,12.4166666666667
LA,8,2022,2882,2340,215,26S,0.91,Aug 2022,12.9833333333333
MA,8,2022,4939,4046,598,42S,0.86,Aug 2022,10.8166666666667
MD,8,2022,4159,3420,556,30S,0.86,Aug 2022,11.85
ME,8,2022,12936,12616,88,3S,0.99,Aug 2022,0
MI,8,2022,6898,5383,854,31S,0.82,Aug 2022,11.0166666666667
MN,8,2022,3777,3173,332,42S,0.89,Aug 2022,13.3833333333333
MO,8,2022,4078,3580,295,29S,0.92,Aug 2022,14.15
MS,8,2022,1491,1278,102,19S,0.92,Aug 2022,6.86666666666667
MT,8,2022,739,714,10,13S,0.99,Aug 2022,13.2333333333333
NC,8,2022,6293,5107,510,21S,0.89,Aug 2022,9.61666666666667
ND,8,2022,363,338,3,15S,0.96,Aug 2022,10.45
NE,8,2022,1607,1409,99,25S,0.91,Aug 2022,12.8333333333333
NH,8,2022,1081,896,141,33S,0.86,Aug 2022,18.4333333333333
NJ,8,2022,5369,4072,625,31S,0.8,Aug 2022,11.9
NM,8,2022,2645,2156,223,27S,0.9,Aug 2022,13.65
NV,8,2022,2428,1840,227,28S,0.84,Aug 2022,15.9
NY,8,2022,16964,13230,1569,27S,0.82,Aug 2022,12.9166666666667
OH,8,2022,8048,6725,637,21S,0.86,Aug 2022,10.55
OK,8,2022,2998,2642,142,26S,0.93,Aug 2022,10.6333333333333
OR,8,2022,4322,3776,359,33S,0.9,Aug 2022,16.6166666666667
PA,8,2022,6793,5547,679,32S,0.86,Aug 2022,11.1
RI,8,2022,483,472,0,7S,1,Aug 2022,10.2
SC,8,2022,3804,2506,559,30S,0.7,Aug 2022,11.5833333333333
SD,8,2022,429,380,24,20S,0.93,Aug 2022,17.8333333333333
TN,8,2022,4234,3152,483,27S,0.86,Aug 2022,8.31666666666667
TX,8,2022,15308,9787,977,23S,0.67,Aug 2022,12.3333333333333
UT,8,2022,2961,2441,204,22S,0.86,Aug 2022,14.3333333333333
VA,8,2022,7221,5766,980,32S,0.85,Aug 2022,9.21666666666667
VT,8,2022,671,557,17,20S,0.89,Aug 2022,14.5166666666667
WA,8,2022,6011,5193,481,26S,0.9,Aug 2022,12.5833333333333
WI,8,2022,6217,4616,530,25S,0.78,Aug 2022,15.1166666666667
WV,8,2022,1007,876,83,21S,0.91,Aug 2022,18.2833333333333
WY,8,2022,439,353,47,15S,0.85,Aug 2022,12.1833333333333
AK,8,2023,919,618,110,21S,0.67,Aug 2023,15.6666666666667
AL,8,2023,2409,1650,383,32S,0.68,Aug 2023,12.7
AR,8,2023,1646,1026,294,27S,0.62,Aug 2023,13.2666666666667
AZ,8,2023,6369,5622,624,20S,0.88,Aug 2023,11.4
CA,8,2023,30099,26775,3199,30S,0.89,Aug 2023,12.6666666666667
CO,8,2023,7293,6186,715,14S,0.85,Aug 2023,14.95
CT,8,2023,3927,3550,258,16S,0.9,Aug 2023,9.71666666666667
DC,8,2023,835,558,141,31S,0.67,Aug 2023,11.25
DE,8,2023,414,285,34,19S,0.69,Aug 2023,11.0333333333333
FL,8,2023,11628,8638,2005,36S,0.74,Aug 2023,15.7833333333333
GA,8,2023,6329,5365,813,24S,0.85,Aug 2023,11.2666666666667
HI,8,2023,1783,1588,174,10S,0.89,Aug 2023,8.3
IA,8,2023,1900,1616,248,35S,0.85,Aug 2023,14.1333333333333
ID,8,2023,1260,1043,116,22S,0.83,Aug 2023,14.8
IL,8,2023,12941,10197,1522,32S,0.79,Aug 2023,21.8333333333333
IN,8,2023,4361,3901,383,21S,0.89,Aug 2023,18.4333333333333
KS,8,2023,1867,1659,189,21S,0.89,Aug 2023,14.7333333333333
KY,8,2023,2587,2124,300,20S,0.82,Aug 2023,13.1166666666667
